ulke_kodu;sehir;olcum;min;max
FI;Turku;pressure;1008;1019
FI;Turku;temperature;-18;-7,5
FI;Turku;humidity;81;91
FI;Turku;pm25;2;105
FI;Turku;wind-speed;0,7;3,8
FI;Oulu;temperature;-18,8;-12,9
FI;Oulu;pressure;1016,1;1025,9
FI;Oulu;humidity;36,7;76,7
FI;Helsinki;temperature;-16,8;-7
FI;Helsinki;humidity;73;97,2
FI;Helsinki;pm25;8;77
FI;Helsinki;pressure;975,4;1019,4
FI;Helsinki;wind-speed;1;3
FI;Tampere;pm25;10;92
FI;Tampere;wind-speed;0,7;3,3
FI;Tampere;pressure;1008,5;1019
FI;Tampere;temperature;-18;-13
FI;Tampere;humidity;84;87,5
CZ;Prague;pm25;7;166
CZ;Prague;temperature;-0,1;5,5
CZ;Prague;humidity;79,1;98,6
CZ;Prague;pressure;963,3;1015,8
CZ;Prague;wind-speed;0,5;6,2
CZ;Ostrava;pm25;5;169
CZ;Ostrava;pressure;857,3;1017,7
CZ;Ostrava;precipitation;99;99
CZ;Ostrava;wind-speed;0,2;17
CZ;Ostrava;temperature;-1,4;8
CZ;Ostrava;humidity;49,5;99
CZ;Brno;temperature;-1,1;6,1
CZ;Brno;wind-speed;0,5;4
CZ;Brno;pm25;5;152
CZ;Brno;pressure;979;1017
CZ;Brno;humidity;53,6;93,8
CZ;Pilsen;precipitation;5,6;5,6
CZ;Pilsen;pm25;7;164
CZ;Pilsen;pressure;854,6;1014
CZ;Pilsen;wind-speed;0,3;38,5
CZ;Pilsen;temperature;-1,7;5
CZ;Pilsen;humidity;80;346,3
CZ;Olomouc;wind-speed;1;5
CZ;Olomouc;temperature;-1,2;4,4
CZ;Olomouc;pm25;45;152
CZ;Olomouc;pressure;946,9;1016
CZ;Olomouc;humidity;77,9;99
IE;Dublin;temperature;4,8;8,6
IE;Dublin;pressure;966,4;993,8
IE;Dublin;wind-speed;0,1;9,3
IE;Dublin;humidity;72,3;93
LT;Kaunas;temperature;0;3
LT;Kaunas;humidity;77;93
LT;Kaunas;pm25;5;87
LT;Kaunas;pressure;1007;1014
LT;Kaunas;wind-speed;0,5;5,4
TW;Taitung City;wind-speed;0,1;4,2
TW;Taitung City;pm25;5;63
TW;Taitung City;pressure;1015,2;1022
TW;Taitung City;temperature;17,3;24,8
TW;Taitung City;humidity;52;100
TW;Taichung;temperature;15,6;28,3
TW;Taichung;pm25;9;153
TW;Taichung;pressure;1014;1019,9
TW;Taichung;wind-speed;0,1;9,6
TW;Taichung;humidity;29;99
TW;Taoyuan City;pm25;25;154
TW;Taoyuan City;pressure;1013,5;1023
TW;Taoyuan City;wind-speed;0,3;11,8
TW;Taoyuan City;temperature;14,2;22,5
TW;Taoyuan City;humidity;63;100
TW;Taipei;humidity;48;100
TW;Taipei;pm25;9;154
TW;Taipei;temperature;8,9;24
TW;Taipei;pressure;1013,5;1029
TW;Taipei;wind-speed;0,1;9,2
TW;Hsinchu;wind-speed;0,3;11,8
TW;Hsinchu;temperature;13,8;24,8
TW;Hsinchu;humidity;51;100
TW;Hsinchu;pm25;17;153
TW;Hsinchu;pressure;1013,5;1022,4
TW;Keelung;temperature;16,3;24,4
TW;Keelung;pressure;1016,6;1024,7
TW;Keelung;wind-speed;0,2;7,4
TW;Keelung;pm25;13;153
TW;Keelung;humidity;60;97
TW;Tainan;humidity;39;100
TW;Tainan;pressure;1015;1018,9
TW;Tainan;pm25;57;161
TW;Tainan;temperature;17;28,3
TW;Tainan;wind-speed;0,4;6,6
TW;Douliu;pressure;1015;1019,9
TW;Douliu;temperature;16,9;29,2
TW;Douliu;humidity;36;99
TW;Douliu;pm25;46;155
TW;Douliu;wind-speed;0,2;6,7
TW;Kaohsiung;pm25;17;240
TW;Kaohsiung;wind-speed;0,1;4,2
TW;Kaohsiung;temperature;18,2;29,3
TW;Kaohsiung;humidity;37;100
TW;Kaohsiung;pressure;1014;1018,2
ZA;Middelburg;pressure;846,1;849,4
ZA;Middelburg;precipitation;0,1;9,9
ZA;Middelburg;wind-speed;0,1;4,5
ZA;Middelburg;pm25;1;156
ZA;Middelburg;temperature;13,8;27,2
ZA;Middelburg;humidity;43;100
ZA;Pretoria;pm25;1;182
ZA;Pretoria;temperature;14,4;29,3
ZA;Pretoria;wind-speed;0;6,8
ZA;Pretoria;humidity;27,6;169,1
ZA;Pretoria;pressure;846,8;1022
ZA;Johannesburg;precipitation;0,1;0,2
ZA;Johannesburg;temperature;14,2;26,6
ZA;Johannesburg;humidity;5,7;98,5
ZA;Johannesburg;pressure;819,4;1022,7
ZA;Johannesburg;wind-speed;0,1;4,9
ZA;Johannesburg;pm25;13;153
ZA;Bloemfontein;pressure;1016;1020
ZA;Bloemfontein;temperature;13,8;25
ZA;Bloemfontein;wind-speed;1,5;6,1
ZA;Bloemfontein;humidity;41;72
ZA;Bloemfontein;pm25;10;163
ZA;Vereeniging;temperature;14,7;29,1
ZA;Vereeniging;pm25;5;155
ZA;Vereeniging;precipitation;0;99,2
ZA;Vereeniging;humidity;0,5;100
ZA;Vereeniging;pressure;840,9;857,8
ZA;Vereeniging;wind-speed;0,1;20,7
ZA;Durban;temperature;20;30,2
ZA;Durban;wind-speed;0,5;9,2
ZA;Durban;humidity;66,6;94
ZA;Durban;pressure;999,4;1014
ZA;Klerksdorp;wind-speed;1;5,6
ZA;Klerksdorp;humidity;43,6;100,5
ZA;Klerksdorp;pm25;5;78
ZA;Klerksdorp;temperature;15,7;27,4
ZA;Klerksdorp;pressure;864,2;869,7
ZA;Klerksdorp;precipitation;0,1;99,2
ZA;Port Elizabeth;pressure;1002,8;1012,2
ZA;Port Elizabeth;temperature;18,8;25,8
ZA;Port Elizabeth;precipitation;0,1;4,5
ZA;Port Elizabeth;wind-speed;0,7;9,7
ZA;Port Elizabeth;humidity;68,6;95,8
ZA;Port Elizabeth;pm25;14;63
ZA;Worcester;humidity;69,8;100,3
ZA;Worcester;pressure;985,3;992
ZA;Worcester;temperature;19,7;26,3
ZA;Worcester;precipitation;0,6;99,2
ZA;Worcester;wind-speed;0,6;2,7
ZA;Worcester;pm25;2;17
AT;Salzburg;temperature;1;8,3
AT;Salzburg;humidity;50,7;96,5
AT;Salzburg;pm25;19;53
AT;Salzburg;pressure;954,2;1015,5
AT;Salzburg;wind-speed;1;7
AT;Linz;wind-speed;0,1;5
AT;Linz;temperature;-1,3;3,2
AT;Linz;humidity;93,5;100
AT;Linz;pm25;28;151
AT;Linz;pressure;970,9;1016,2
AT;Innsbruck;wind-speed;1;9,5
AT;Innsbruck;pressure;938,9;1010,8
AT;Innsbruck;temperature;-3;9,8
AT;Innsbruck;humidity;55,2;96,5
AT;Vienna;pm25;32;93
AT;Vienna;pressure;982,9;1024,5
AT;Vienna;wind-speed;0,2;11,6
AT;Vienna;temperature;-1,6;6,2
AT;Vienna;humidity;79;100
AT;Graz;pm25;54;139
AT;Graz;pressure;965,3;1017,5
AT;Graz;wind-speed;0,5;3,9
AT;Graz;temperature;-6,1;9
AT;Graz;humidity;63;100
JO;Amman;temperature;7;15
JO;Amman;wind-speed;1;2,5
JO;Amman;pressure;1020;1023
JO;Amman;humidity;67;93
JO;Irbid;temperature;7;20,5
JO;Irbid;pressure;1019,5;1023
JO;Irbid;wind-speed;0,6;4,7
JO;Irbid;humidity;55;93
JO;Zarqa;wind-speed;1;2,5
JO;Zarqa;temperature;7;15
JO;Zarqa;humidity;67;93
JO;Zarqa;pressure;1020;1023
NP;Kathmandu;wind-speed;0,3;4,3
NP;Kathmandu;humidity;35,5;100
NP;Kathmandu;pm25;80;216
NP;Kathmandu;pressure;1019;1024
NP;Kathmandu;temperature;5,9;20,3
NP;Pokhara;pm25;54;88
NP;Pokhara;wind-speed;0,3;0,5
NP;Pokhara;temperature;10,9;20,3
NP;Pokhara;humidity;57,9;96,8
NP;Biratnagar;temperature;11,4;16,8
NP;Biratnagar;humidity;53;80
NP;Biratnagar;wind-speed;0,3;2,9
SE;Stockholm;pm25;5;33
SE;Stockholm;pressure;1010,5;1016,5
SE;Stockholm;wind-speed;2;4,6
SE;Stockholm;temperature;-3;-1
SE;Stockholm;humidity;74;92
SE;Göteborg;pm25;3;19
SE;Göteborg;humidity;80;93
SE;Göteborg;pressure;1003;1009
SE;Göteborg;wind-speed;3;9,2
SE;Göteborg;temperature;1;3
SE;Malmö;temperature;1,2;5,6
SE;Malmö;pressure;998,9;1006,6
SE;Malmö;humidity;88,7;95
SE;Malmö;pm25;23;57
SE;Uppsala;temperature;-6;-2
SE;Uppsala;pressure;1011,5;1018
SE;Uppsala;wind-speed;1,5;5,1
SE;Uppsala;humidity;85;100
SE;Uppsala;pm25;3;35
CH;Zürich;pm25;1;6
CH;Zürich;wind-speed;0,1;9,7
CH;Zürich;temperature;-2;8,2
CH;Zürich;humidity;60,1;100
CH;Zürich;pressure;1007,5;1019,6
CO;Bogotá;humidity;40;100
CO;Bogotá;wind-speed;0,1;7,2
CO;Bogotá;pm25;1;999
CO;Bogotá;pressure;562;1031
CO;Bogotá;precipitation;0,1;13,9
CO;Bogotá;temperature;10,8;24,7
CO;Medellín;pm25;30;82
CO;Medellín;pressure;1025;1030
CO;Medellín;temperature;12;24
CO;Medellín;humidity;47;100
CO;Medellín;wind-speed;1;6,1
NL;Utrecht;humidity;77,2;91,3
NL;Utrecht;pressure;1009,8;1020,1
NL;Utrecht;temperature;7,5;10
NL;Utrecht;pm25;2;68
NL;Utrecht;wind-speed;1,7;6,1
NL;Nijmegen;wind-speed;4,6;9,9
NL;Nijmegen;temperature;8;10
NL;Nijmegen;humidity;70;90
NL;Nijmegen;pm25;1;92
NL;Nijmegen;pressure;994;1005
NL;Haarlem;pressure;989,8;1002,6
NL;Haarlem;wind-speed;2;5,5
NL;Haarlem;temperature;7,4;9,9
NL;Haarlem;humidity;73;97
NL;Haarlem;pm25;1;124
NL;Eindhoven;pressure;995;1004,5
NL;Eindhoven;wind-speed;4,1;10,5
NL;Eindhoven;temperature;8;11
NL;Eindhoven;humidity;63,5;81
NL;Eindhoven;pm25;4;70
NL;Rotterdam;humidity;70;90,5
NL;Rotterdam;wind-speed;2,5;12
NL;Rotterdam;pm25;2;59
NL;Rotterdam;pressure;992;1003,9
NL;Rotterdam;temperature;7,5;10,4
NL;Amsterdam;humidity;70,9;97
NL;Amsterdam;wind-speed;1,7;20,3
NL;Amsterdam;temperature;7;10,5
NL;Amsterdam;pm25;1;154
NL;Amsterdam;pressure;983,5;1020,1
NL;Dordrecht;humidity;77,1;90,5
NL;Dordrecht;pm25;4;53
NL;Dordrecht;pressure;993,2;1003,3
NL;Dordrecht;temperature;7,7;9,8
NL;Dordrecht;wind-speed;6,6;14,5
NL;Breda;wind-speed;5,9;14,4
NL;Breda;temperature;7,7;10
NL;Breda;humidity;66;89,2
NL;Breda;pm25;1;55
NL;Breda;pressure;993,4;1004
NL;Groningen;temperature;7;9,5
NL;Groningen;humidity;76;93
NL;Groningen;pressure;993;1004,5
NL;Groningen;wind-speed;4,6;8,2
NL;Groningen;pm25;1;93
NL;Maastricht;temperature;7;10,6
NL;Maastricht;humidity;76,2;92
NL;Maastricht;pm25;5;102
NL;Maastricht;pressure;996;1007,7
NL;Maastricht;wind-speed;0,1;12,1
NL;The Hague;pm25;3;152
NL;The Hague;pressure;992,2;1002,2
NL;The Hague;temperature;7,7;10,5
NL;The Hague;wind-speed;7,5;16
NL;The Hague;humidity;79,5;91,1
KG;Bishkek;temperature;-10;3,5
KG;Bishkek;humidity;64;100
KG;Bishkek;pm25;2;168
KG;Bishkek;pressure;1024;1029
KG;Bishkek;wind-speed;0,5;4,6
MX;Guadalajara;humidity;23;86
MX;Guadalajara;wind-speed;1;5,6
MX;Guadalajara;temperature;4;23
MX;Guadalajara;pm25;18;156
MX;Guadalajara;pressure;1022;1026,7
MX;Cuernavaca;wind-speed;1;7,7
MX;Cuernavaca;humidity;26;93
MX;Cuernavaca;pm25;14;133
MX;Cuernavaca;temperature;1;21
MX;Cuernavaca;pressure;1025;1030,4
MX;Puebla;pm25;26;186
MX;Puebla;pressure;1024,3;1029,4
MX;Puebla;humidity;15;86
MX;Puebla;wind-speed;1;7,2
MX;Puebla;temperature;4;22
MX;Mexico City;humidity;15;86
MX;Mexico City;pressure;839,2;1029,4
MX;Mexico City;temperature;4;22,5
MX;Mexico City;pm25;8;156
MX;Mexico City;wind-speed;0,5;7,2
MX;Morelia;wind-speed;0,5;8,2
MX;Morelia;humidity;27;100
MX;Morelia;pm25;38;122
MX;Morelia;temperature;1;23
MX;Morelia;pressure;1021,7;1028,4
MX;Mérida;humidity;36;93
MX;Mérida;pressure;1019,6;1024,4
MX;Mérida;wind-speed;1;5,1
MX;Mérida;temperature;12;27
MX;San Luis Potosí;pressure;1023;1028,1
MX;San Luis Potosí;temperature;2;22
MX;San Luis Potosí;humidity;18;87
MX;San Luis Potosí;wind-speed;1,5;5,1
MX;Monterrey;pm25;17;688
MX;Monterrey;pressure;1014,8;1020,3
MX;Monterrey;temperature;7;24
MX;Monterrey;humidity;33;81
MX;Monterrey;wind-speed;0,2;4,6
MX;Tepic;pressure;913,8;916,6
MX;Tepic;wind-speed;2;3
